,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,0.11
1,20,1.0,199,4000,0.26
2,20,1.0,299,6000,0.12
3,20,1.0,399,8000,0.23
4,20,3.0,499,10000,0.3
5,20,-1.0,599,12000,0.28
6,20,1.0,699,14000,0.43
7,20,1.0,799,16000,0.41
8,20,0.0,899,18000,0.45
9,20,0.0,999,20000,0.56
10,20,1.0,1099,22000,0.58
11,20,0.0,1199,24000,0.5
12,20,-1.0,1299,26000,0.57
13,20,1.0,1399,28000,0.6
14,20,2.0,1499,30000,0.48
15,20,1.0,1599,32000,0.71
16,20,0.0,1699,34000,0.63
17,20,1.0,1799,36000,0.74
18,20,0.0,1899,38000,0.69
19,20,0.0,1999,40000,0.77
20,20,1.0,2099,42000,0.81
21,20,2.0,2199,44000,0.83
22,20,-1.0,2299,46000,0.85
23,20,2.0,2399,48000,0.86
24,20,1.0,2499,50000,0.91
25,20,0.0,2599,52000,0.91
26,20,2.0,2699,54000,0.89
27,20,3.0,2799,56000,0.95
28,20,1.0,2899,58000,0.84
29,20,0.0,2999,60000,0.91
30,20,1.0,3099,62000,1.05
31,20,0.0,3199,64000,0.82
32,20,1.0,3299,66000,0.79
33,20,1.0,3399,68000,0.94
34,20,1.0,3499,70000,0.82
35,20,-1.0,3599,72000,1.04
36,20,1.0,3699,74000,1.06
37,20,2.0,3799,76000,1.06
38,20,-2.0,3899,78000,0.94
39,20,2.0,3999,80000,0.96
40,20,1.0,4099,82000,1.12
41,20,2.0,4199,84000,0.84
42,20,1.0,4299,86000,0.95
43,20,0.0,4399,88000,0.93
44,20,1.0,4499,90000,1.08
45,20,1.0,4599,92000,0.79
46,20,2.0,4699,94000,0.91
47,20,0.0,4799,96000,1.1
48,20,2.0,4899,98000,0.95
49,20,1.0,4999,100000,1.01
