,timesteps,ep_reward,num_updates,episodes
432,100,100.0,0,432
433,100,100.0,0,433
434,100,100.0,0,434
435,100,100.0,0,435
436,100,100.0,1,436
437,100,100.0,0,437
438,100,100.0,0,438
439,100,100.0,0,439
440,100,100.0,0,440
441,100,100.0,0,441
442,100,100.0,0,442
443,100,100.0,0,443
444,100,100.0,0,444
445,28,28.0,0,445
446,100,100.0,0,446
447,100,100.0,0,447
448,87,87.0,0,448
449,100,100.0,0,449
450,100,100.0,0,450
451,100,100.0,0,451
452,29,29.0,0,452
453,100,100.0,0,453
454,100,100.0,0,454
455,100,100.0,0,455
456,98,98.0,0,456
457,100,100.0,0,457
458,100,100.0,1,458
459,100,100.0,0,459
460,100,100.0,0,460
461,100,100.0,0,461
462,100,100.0,0,462
463,100,100.0,0,463
464,100,100.0,0,464
465,100,100.0,0,465
466,100,100.0,0,466
467,100,100.0,0,467
468,100,100.0,0,468
469,100,100.0,0,469
470,100,100.0,0,470
471,100,100.0,0,471
472,100,100.0,0,472
473,100,100.0,0,473
474,100,100.0,0,474
475,100,100.0,0,475
476,100,100.0,0,476
477,100,100.0,0,477
478,100,100.0,1,478
479,99,99.0,0,479
480,100,100.0,0,480
481,100,100.0,0,481
482,100,100.0,0,482
483,100,100.0,0,483
484,100,100.0,0,484
485,100,100.0,0,485
486,100,100.0,0,486
487,100,100.0,0,487
488,100,100.0,0,488
489,100,100.0,0,489
490,100,100.0,0,490
491,100,100.0,0,491
492,100,100.0,0,492
493,100,100.0,0,493
494,43,43.0,0,494
495,100,100.0,0,495
496,100,100.0,0,496
497,100,100.0,0,497
498,100,100.0,1,498
499,100,100.0,0,499
500,100,100.0,0,500
